Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Ajoitusperuste;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Subtype 2 (Finnish);Integrity;Main temper (Finnish);Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);;;;;;;Photoal ID 
BA;uusi 8382;tuntematon;;KHMESIE;2612;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe;Rombikirves;3;;FALSE;oliviinidiabaasi;;;;58;63;47;Voi myös olla yksinkertainen reikäkirves.;;;;;;;KHMESIE 2612
BA;kuopio124;Kuopio;Riistavesi;KHMESIE;3478;;6977200;3556000;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;1;;TRUE;diabaasi;116;48;13;;;;;;;;;;;KHMESIE 3478
BA;kuopio150;Kuopio;Lohilahti;KHMESIE;4391;;6984340;3550780;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, pentagonal;Rombikirves, viisisärmäinen;1;;FALSE;diabaasi;91;48;29;;;;;;;;;;;KHMESIE 4391
BA;1000016756;Kuopio;Vanhapiha;KHMESIE;5844;;7022110;3510110;90;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;48;20;8;;;;;;;;;;;KHMESIE 5844
BA;204010001;Kaavi;Tyynelä;KHMESIE;6165;;6970343;3595986;102;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based flint arrowhead;Piinuolenkärki, tasakantainen;1;;FALSE;pii;;;;36;14;4;;;;;;;;KHMESIE 6165
BA;749010006;Siilinjärvi;Saunalahti;KHMESIE;6251;1;6988620;3523680;98;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based flint arrowhead;Piinuolenkärki, tasakantainen;1;;FALSE;pii;;;;38;12;7;Lapinrauniolöytö.;;;;;;;KHMESIE 6251_1
BA;kuopio197;Kuopio;Vaajasalo;KHMESIE;6509;;6978863;3541171;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;2;;FALSE;harmaa kivi;168;80;40;;;;Tyylillisesti teräväsärmäisen ja A-tyypin rombikirveen välimuoto. Todennäköisesti paikallista tuotantoa. Löydetty rantahiekasta, tarkempi löytöpaikka ei selvillä.;;;;;;;KHMESIE 6509
BA;a483;Harjavalta;Harjavalta;KM;78;;6810267;3240036;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, pentagonal;Rombikirves, viisisärmäinen;1;;TRUE;porfyyri;109;56;37;;;;;;;;;;;KM 78
BA;a742;Hattula;Anomaa;KM;1693;;6783540;3359530;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;2;;FALSE;porfyyri;;;;90;43;31;;;;;;;;KM 1693
BA;uusi 7034;Pori;;KM;1907;10;6842519;3227971;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;2;;FALSE;diabaasi;;;;97;44;35;Kärki tylppä ja hionta keskeneräisen oloista.;;;;;;;KM 1907_10
BA;uusi 5738;Inari;Patjoki;KM;2012;5;7647100;3557147;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartzite arrowhead;Kvartsiittinuolenkärki, tasakantainen;1;;TRUE;kvartsiitti;62;18;6;;;;;;;;;;;KM 2012_5
BA;1000016758;Kuopio;Korppiniemi;KM;2023;104;7014360;3512000;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;FALSE;kvartsi;;;;42;15;7;"""Alkujaan oli se n. 6 tuumaa pitkä, kuin se useita kymmeniä vuosia sitten löy-dettiin pellosta Korppiniemeltä Viannon kylästä Maaningan pitäjää.""";;;;;;;KM 2023_104
BA;601010019;Pihtipudas;Majaniemi;KM;2029;102;7037925;3419187;115;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;1;;FALSE;vihreäliuske;105;35;34;;;;Esine kahdessa yhteenliimatussa osassa.;;;;;;;KM 2029_102
BA;uusi 6058;Ikaalinen;;KM;2041;3;6858473;3300007;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with curved back;Rombikirves, käyräselkäinen;1;;TRUE;porfyriitti;140;56;52;;;;Hyvin karkeatekoinen tyyppinsä edustajaksi, selvästi paikallista tuotantoa. Reikä porattu kahdelta puolelta.;;;;;;;KM 2041_3
BA;uusi 6210;Sastamala;;KM;2084;278;6804662;3269133;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, square in section;Rombikirves, poikkileikkaukseltaan suorakulmainen;2;;FALSE;porfyriitti;;;;92;59;36;;;;;;;;KM 2084_278
BA;turku273;Huittinen;;KM;2252;29;6793020;3268892;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe;Rombikirves;1;;TRUE;porfyyri;97;55;37;;;;;;;;;;;KM 2252_29
BA;262010002;Eura;Heikkilä;KM;2994;7;6797473;3230980;31;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;tyyppi;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;1;;FALSE;diabaasi;;;;77;66;37;Löytäjän mukaan löydetty kiviröykkiöstä, yhdessä toisen pronssikautisen kivikirveen katkelman kanssa.;;;;;;;KM 2994_7
BA;262010002;Eura;Heikkilä;KM;2994;8;6797473;3230980;31;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;tyyppi;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;1;;FALSE;musta liuske;;;;81;28;30;Löytäjän mukaan löytynyt kiviröykkiöstä, yhdessä toisen pronssikautisen kivikiveen fragmentin kanssa.;;;;;;;KM 2994_8
BA;uusi 8472;Lemi;Hietamies;KM;3078;8;6768904;3538933;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;1;;TRUE;diabaasi;75;58;42;0;0;0;Lapinrauniolöytö.;;;;;;;KM 3078_8
BA;uusi 8472;Virrat;;KM;3078;8;6907821;3332493;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;1;;TRUE;diabaasi;75;58;42;0;0;0;Lapinrauniolöytö.;;;;;;;KM 3078_8
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;3147;19;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone cast;Ananjino axe cast;;Valinmuotti, Ananjinon kirves;2;;FALSE;vuolukivi;0;0;0;52;49;13;;;;;;;;KM 3147_19
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;3147;20;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone cast;Ananjino axe cast;;Valinmuotti, Ananjinon kirves;2;;FALSE;vuolukivi;0;0;0;38;18;17;;;;;;;;KM 3147_20
BA;785010008;Vaala;Nimisjärvi Sillankorva;KM;3147;21;7157900;3490030;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone cast;Ananjino axe cast;;Valinmuotti, Ananjinon kirves;2;;FALSE;vuolukivi;0;0;0;38;21;7;;;;;;;;KM 3147_21
BA;uusi 8473;Salo;Ervelä;KM;3469;;6684981;3288685;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe;Rombikirves;2;;FALSE;porfyyri;;;;88;56;41;;;;;;;;KM 3469
BA;151010005;Isojoki;Peltosaari;KM;5630;;6898303;3224744;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;tyyppi;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;2;;TRUE;musta kivilaji;134;51;35;;;;Löydetty joesta.;;;;;;;KM 5630
BA;501010028;Salo;Jokiranta;KM;6548;1;6698980;3295140;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based flint arrowhead;Piinuolenkärki, tasakantainen;1;;TRUE;pii;33;15;5;;;;;;;;;;;KM 6548_1
BA;uusi 6709;Akaa;Lapio;KM;6678;;6790190;3323467;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;1;;TRUE;porfyyri;120;47;35;;;;;;;;;;;KM 6678
BA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6940;45;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe;Rombikirves;1;;FALSE;porfyyri;;;;51;56;35;;;;;;;;KM 6940_45
BA;uusi 4669;Salla;Rohmuoisten tunturi;KM;7162;3;7416620;3573513;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone cast;Stone cast;;Putkikirveen valinmuotti;1;;TRUE;;102;52;26;;;;;;;;;;;KM 7162_3
BA;409010028;Kristiinankaupunki;Lappfjärd-Langäng;KM;7959;3;6910898;3222697;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;53;16;7;;;;;;;;;;;KM 7959_3
BA;uusi 4364;Salo;Hossamaa;KM;8579;2;6697991;3287358;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe;Rombikirves;1;;FALSE;vihreä kivilaji;;;;82;61;46;;;;;;;;KM 8579_2
BA;uusi 4468;Enontekiö;Posionniemi;KM;8762;;7622939;3323842;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, hexagonal;Rombikirves, kuusikulmainen;1;;TRUE;porfyyri;86;50;37;;;;;;;;;;;KM 8762
BA;1000009914;Ylitornio;Vuennonkoski;KM;8807;3;7345656;3357539;50;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe;Rombikirves;1;;FALSE;porfyyri;;;;52;44;29;;;;;;;;KM 8807_3
BA;250010005;Kihniö;Ruohonen;KM;8847;;6898877;3299376;145;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based flint arrowhead;Piinuolenkärki, tasakantainen;1;;TRUE;pii;78;17;6;;;;;;;;;;;KM 8847
BA;uusi 4526;Laitila;Saha;KM;8849;;6781567;3212193;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, provincial;Rombikirves, provinsiaalinen;1;;TRUE;kiillegneissi;95;61;35;;;;Meinander: Bronzezeit s. 74;;;;;;;KM 8849
BA;uusi 4066;Räisälä;Tiuri;KM;9074;;6751961;3653191;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with curved back;Rombikirves, käyräselkäinen;1;;TRUE;porfyyri;92;55;40;;;;vai vasarakirves?;;;;;;;KM 9074
BA;148010025;Inari;Toivoniemi koillinen;KM;9125;12;7665300;3504800;147;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;47;18;6;;;;;;;;;;;KM 9125_12
BA;uusi 4132;Suistamo;Tuomela;KM;9201;;6879260;3722588;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;typologia;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;1;;TRUE;vihreäliuske;180;56;36;;;;;;;;;;;KM 9201
BA;1000004093;Lohja;Luokola;KM;9453;;6695304;3325091;65;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, hexagonal;Rombikirves, kuusikulmainen;1;;TRUE;porfyyri;95;55;47;;;;;;;;;;;KM 9453
BA;uusi 4271;Äänekoski;;KM;9468;;6948383;3423059;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, right-angled;Rombikirves, suorakulmainen;1;;TRUE;porfyyri;94;64;34;;;;iskunjälkiä;;;;;;;KM 9468
BA;uusi 3769;Uusikaarlepyy;Konttila;KM;9559;;7035450;3286037;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with curved back;Rombikirves, käyräselkäinen;1;;TRUE;harmaa kivilaji;110;49;52;;;;;;;;;;;KM 9559
BA;9040015;Alavieska;Lammasniemi 1;KM;9730;;7123866;3370714;47;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;FALSE;kvartsi;44;21;7;;;;;;;;;;;KM 9730
BA;uusi 3901;Sysmä;Valittula;KM;9802;1;6825468;3438458;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;45;19;8;;;;;;;;;;;KM 9802_1
BA;uusi 3922;Kouvola;Ummeljoki;KM;9843;1;6739357;3487223;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, hexagonal;Rombikirves, kuusikulmainen;1;;TRUE;porfyyri;130;44;38;;;;;;;;;;;KM 9843_1
BA;uusi 3964;Kruunupyy;Poras;KM;9922;;7074751;3306421;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;46;18;7;;;;;;;;;;;KM 9922
BA;1000015709;Pyhäjärvi;Pyhäjoen niska;KM;10002;4;7069940;3449300;140;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;73;17;8;;;;;;;;;;;KM 10002_4
BA;uusi 2720;Seinäjoki;;KM;10097;;6942186;3299852;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;2;;TRUE;diabaasi;116;57;39;;;;;;;;;;;KM 10097
BA;912010022;Sastamala;Haapakallio;KM;10401;1;6811222;3282245;59;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based flint arrowhead;Piinuolenkärki, tasakantainen;1;;FALSE;pii;;;;14;18;4;;;;;;;;KM 10401_1
BA;912010022;Sastamala;Haapakallio;KM;10657;10;6811222;3282245;59;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;FALSE;kvartsi;;;;25;15;6;;;;;;;;KM 10657_10
BA;912010022;Sastamala;Haapakallio;KM;10657;88;6811222;3282245;59;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;2;;FALSE;kvartsi;;;;21;19;6;;;;;;;;KM 10657_88
BA;uusi 2586;Kalajoki;;KM;10859;;7125376;3362162;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based chert arrowhead;Serttinuolenkärki, tasakantainen;1;;TRUE;sertti;84;22;8;;;;mahdollisesti lidiittiä?;;;;;;;KM 10859
BA;uusi 3146;Ilomantsi;Tykkyläinen;KM;11140;3;6970791;3699851;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;pronssiteknologian kehitys alueella;Stone artefacts;Stone cast;Stone cast;;Valinmuotti;1;;TRUE;vuolukivi;176;44;22;;;;"""Tasaista lapetta käytetty löytymisen jälkeen hiomiseen""";;;;;;;KM 11140_3
BA;uusi 3346;Laihia;Kylänpää;KM;11499;1;6986931;3249659;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, hexagonal;Rombikirves, kuusikulmainen;2;;FALSE;diabaasi;;;;54;59;34;;;;;;;;KM 11499_1
BA;x757;Kiuruvesi;Luvelahti;KM;11708;;7054444;3486441;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, human figure;Rombikirves, ihmispäinen;1;;TRUE;porfyyri;158;66;41;;;;ihmispääkirves (kipsikopio nähty);;;;;;;KM 11708
BA;1000000291;Kauhava;Sittalan mäki;KM;12061;2;7012513;3291528;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;2;;TRUE;porfyyri;121;59;44;;;;keskeneräinen reikä, paikallinen muunnos?;;;;;;;KM 12061_2
BA;uusi 3485;Hamina;Summa;KM;12448;;6716320;3505295;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;1;;TRUE;diabaasi;103;48;31;;;;;;;;;;;KM 12448
BA;1000016622;Pirkkala;Virosmäki;KM;12530;;6821868;3317508;82;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone cast;Stone cast;;Valinmuotti;1;;TRUE;kiilleliuske;0;0;0;0;0;0;;;;;;;;KM 12530
BA;605010001;Närpiö;Pörtom-Raineåsen;KM;12545;119;6971720;3221046;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartzite arrowhead;Kvartsiittinuolenkärki, tasakantainen;2;;FALSE;kvartsiitti;;;;19;20;4;;;;;;;;KM 12545_119
BA;uusi 3527;Närpiö;Pirttikylä;KM;12546;;6967982;3224811;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe with sharp edges;Rombikirves, teräväsärmäinen;2;;FALSE;harmaa kivilaji;;;;80;48;13;;;;;;;;KM 12546
BA;uusi 2074;Viitasaari;Rajaniemi;KM;13010;;6983614;3464815;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based flint arrowhead;Piinuolenkärki, tasakantainen;1;;TRUE;pii;59;14;6;;;;lovikantainen;;;;;;;KM 13010
BA;uusi 2115;Espoo;Morby;KM;13224;;6680197;3369394;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, hexagonal;Rombikirves, kuusikulmainen;1;;FALSE;porfyyri;;;;69;62;52;;;;;;;;KM 13224
BA;699010235;Rovaniemi;Hakaluoma;KM;13545;3;7349564;3425886;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;Stone artefacts;Stone arrowhead;Even-based arrowhead;Even-based quartz arrowhead;Kvartsinuolenkärki, tasakantainen;1;;TRUE;kvartsi;27;16;4;;;;;;;;;;;KM 13545_3
BA;1000003863;Porvoo;Rånas;KM;13916;;6692340;3439050;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone shaft-hole axe;Rhombus shaft-hole axe;Rhombus shaft-hole axe, A-type;Rombikirves, A-tyyppi;1;;TRUE;porfyyri;147;77;42;;;;;;;;;;;KM 13916
BA;699010288;Rovaniemi;Luusuanvaara;KM;14087;1;7421760;3444700;150;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;Stone artefacts;Stone cast;Mälar axe cast;;Valinmuotti, Mälarin kirves;;;TRUE;;122;62;21;;;;;;;;;;;KM 14087_1
